Market Name,Latitude,Longitude
Mangalore,12.8698101,74.8430082
Gowribidanoor,,
Chintamani,13.3986587,78.0533058
Kunigal,13.0260158,77.0222704
Pavagada,14.105626,77.2749939
Sira,13.7409467,76.905738
Huliyar,13.335172106708226,76.47391185133033
Madhugiri,13.6601789,77.2140882
Gubbi,13.3095743,76.9400698
Jalana,29.1233432,76.4028074
Degana,26.8958747,74.3222498
Jhunjhunu,28.0810679,75.37924775151512
Rudrapur,28.9707183,79.3972845
Kharsiya,,
Kota,25.1737019,75.8574194
Pakhanjur,20.0386772,80.6245447
Amoda,23.965674300000003,79.44270847661664
Bardewri,,
Jaspur,29.276760250000002,78.86655713088385
Kunkuri,22.7419869,83.9494993
Baikunthpur,26.281738150000002,84.7428214590481
Surajpur,23.357776899999998,82.97612766699449
Abhanpur,28.0150138,76.852262
Madathukulam,10.62439365,77.35233041755609
Kosikalan,27.7927679,77.4406575
Devband,,
Sandila,27.12544385,80.54149084148398
Vilaspur,17.9187994,76.3794637
Chhapra,25.7784105,84.7514507
Jammu (Grain Mandi),,
Ichapuram,18.9020347,83.7092318
Kovvur,17.0075314,81.7276966
"P. Ramacharyulu Park,RBZ",,
Bowenpally,17.4755371,78.4792282
Hyderabad (F&V),,
L B Nagar,17.3498286,78.5479138
Gaddiannaram,17.3636842,78.523971
Moreh,24.2481189,94.3028748
Thoubal,24.62525025,94.00835224071031
Imphal,24.7991162,93.9364419
Bishenpur,24.6267287,93.7600454
Gohad,26.41059725,78.44569960925098
Bhind,26.3518828,78.68631887730044
Tikamgarh,24.85521045,79.04725459918899
Nainpur,22.4257867,80.1044938387902
Chhindwara,22.20718965,78.79883295930742
Chaurai,21.96692635,78.5443610404424
Pandhurna,21.5898263,78.5258059
Katni,23.717639300000002,80.26101812940934
Shivpuri(F&V),,
Narsinghpur,22.93455595,79.08678489806229
Dewas,22.8057498,76.294040773288
Pipariya,22.7543115,78.3558763
Bareli,28.355099,79.417851
Obedullaganj,,
Begamganj,23.61275585,78.35005483020731
Gairatganj,23.4101246,78.2212624
Raghogarh,24.4407065,77.19504893506408
Sidhi,24.211268699999998,81.70004154154752
Simariya,23.7714632,78.87132759333784
Panna,24.44989305,80.14627227486437
Bhopal,23.2584857,77.401989
Ashoknagar,24.618609499999998,77.87869828577024
Betul,21.8797472,77.87536507259225
Kurawar,23.509719949999997,77.00577944611139
Khilchipur,24.03447745,76.5768551033463
Seoni,22.2748109,79.72025222428486
Barghat,22.0288467,79.7438467143195
Datia,25.91829465,78.66449615888288
Ganjbasoda,,
Petlawad,23.020958649999997,74.80713541312265
Mandsaur(F&V),,
Rahatgarh,23.7926876,78.39869736664718
Deori,24.5072214,86.14040255547135
Jaisinagar,23.66907655,78.63208701233464
Bamora,23.13195,75.68497531567509
Sagar,23.808307550000002,78.75825398721975
Khurai,24.0521941,78.3309666
Balaghat,21.8611589,80.3237104768576
Ujjain,23.1885131,75.7716562
Ujjain(F&V),,
Mhow,22.5586725,75.7686558
Badwani,18.8240919,76.7136454
Badnawar,23.02312625,75.20649997379437
Burhanpur(F&V),,
Jobat,22.41332575,74.56485784825489
Bhitarwar,24.851984350000002,79.02902822604989
Dabra,25.8818881,78.3305079
Nagod,24.5705157,80.5867584
Satna,24.6954445,80.77703482475752
Khandwa,21.8203752,76.3555424
Jabalpur,23.1701522,79.9324505
Jabalpur(F&V),,
Shahpura(Jabalpur),23.1415955,79.6637661783698
Javera,,
Hata,26.7403,83.7441
Damoh,23.7981005,79.54193561694873
Sheopurkalan,,
Narnaul,28.0438456,76.1062015
Ch. Dadri,,
Tosham,28.779940449999998,75.82826393797174
Siwani,28.8241239,75.5956446015295
Barwala,29.350185,75.93817117364267
Bapauli,,
Naraingarh,30.44557605,77.12563181703138
Shahzadpur,30.446413,77.0334204
Jhajjar,28.59644605,76.65053662578484
Tohana,29.645988799999998,75.81205314793667
